x_m,reference_z_m,sampled_5m_z_m,sampled_10m_z_m,sampled_30m_z_m
449.500000000,2.984195641,2.964856172,2.950246224,2.982428440
450.000000000,3.000000000,3.000000000,3.000000000,3.000000000
450.500000000,3.011180359,2.991209845,2.974753776,2.992571560
451.000000000,3.017731689,2.982419691,2.949507552,2.985143121
451.500000000,3.019677414,2.973629536,2.924261328,2.977714681
452.000000000,3.017069183,2.964839382,2.899015103,2.970286242
452.500000000,3.009986468,2.956049227,2.873768879,2.962857802
453.000000000,2.998535989,2.947259073,2.848522655,2.955429363
453.500000000,2.982850970,2.938468918,2.823276431,2.948000923
454.000000000,2.963090241,2.929678764,2.798030207,2.940572484
454.500000000,2.939437169,2.920888609,2.772783983,2.933144044
455.000000000,2.912098455,2.912098455,2.747537758,2.925715605
455.500000000,2.881302771,2.870396161,2.722291534,2.918287165
456.000000000,2.847299279,2.828693867,2.697045310,2.910858726
